cid;hex;lac;bch;bsic;bts_date;reg;bts_place;bts_lat;bts_lon
4976;1370;24606;11;19;02.03.2023;BM;Brno, Nádražní 418/1, hlavní nádraží, mikrocela na budově a indoor;49.19094722;16.61266944
4977;1371;24656;59;12;30.04.2020;BM;Brno - Veveří, Kounicova 996/65a, Moravská zemská knihovna, indoor;49.20868611;16.59425278
4979;1373;24606;27;8;22.05.2020;BM;Brno, Dornych 404/4, OD TESCO, indoor;49.18925;16.61306944
4980;1374;24646;38;58;25.10.2022;BM;Brno - Černovice, Vlastimila Pecha 1282/12, CTPark, hala Thermo Fisher, indoor;49.17683333;16.66563889
4983;1377;24606;54;10;04.05.2020;BM;Brno, Mečová 695/2, OD Velký Špalíček, indoor;49.19325;16.60733611
4984;1378;24606;6;11;04.05.2020;BM;Brno, Kozí 684/8, lékárna, mikrocela, 1.p;49.19616667;16.60956667
4986;137A;24606;57;0;04.05.2020;BM;Brno, Kobližná x Vachova, mikrocela, 1.p nad vchodem do Firo tour;49.19535556;16.61165833
4988;137C;24606;58;62;06.05.2020;BM;Brno - Trnitá, Ve Vaňkovce 462/1, Galerie Vaňkovka, indoor;49.18784444;16.61480833
4989;137D;24606;5;48;04.05.2020;BM;Brno, Josefská 700/17, mikrocela nad východem z podchodu;49.19198611;16.61224444
4991;137F;24606;44;57;04.05.2020;BM;Brno, náměstí Svobody 90/19 x Zámečnická, mikrocela nad vchodem do McDonalds, 1.p;49.19478611;16.607875
4992;1380;24656;29;30;11.06.2020;BM;Brno - Ponava, Cimburkova 540/4, OC Královo Pole, indoor;49.2169;16.60841389
4997;1385;24656;30;0;28.07.2020;BM;Brno - Ivanovice, Hradecká 408/40, Globus, indoor;49.26163333;16.57869444
4998;1386;24656;28;62;28.07.2020;BM;Brno - Ivanovice, Hradecká 408/40, Globus, indoor;49.26163333;16.57869444
4999;1387;24646;57;4;15.09.2021;BM;Brno - Brněnské Ivanovice, Kaštanová 506/50, Makro, indoor;49.16233611;16.63970278
6037;1795;18288;644;59;23.02.2013;BM;Brno, Bašty 416/8, Mamut Pub, indoor pikocela;49.1907;16.60921111
6289;1891;18288;649;60;04.06.2011;BM;Brno, Bašty 416/8, Offermannův dům, indoor pikocela;49.1907;16.60921111
6310;18A6;18288;646;58;16.09.2012;BM;Brno, Orlí 10/8, zubní ordinace, indoor pikocela;49.19305556;16.61097222
6316;18AC;18288;651;58;25.04.2019;BM;Brno - Žabovřesky, Sochorova 3178/23, Avriopoint, indoor pikocela;49.21261111;16.56713889
6317;18AD;18288;653;60;25.04.2019;BM;Brno - Žabovřesky, Sochorova 3178/23, Avriopoint, indoor pikocela;49.21261111;16.56713889
6453;1935;18288;649;62;02.11.2012;BM;Brno, Jánská 79/3, Raiffeisenbank, indoor pikocela;49.19408333;16.60927778
6580;19B4;18288;652;58;16.09.2012;BM;Brno - Soběšice, Panská lícha 632/6, Ranč Panská lícha, indoor pikocela;49.24644444;16.63552778
14320;37F0;25400;5;36;23.04.2020;BM;Brno, Lipový vrch 478 m, příhradová věž, +O2;49.22322778;16.45885556
